"CODICE_VIA";"NUMEROCOMPLETO";"STATOCIVICO";"GAUSSB_X";"GAUSSB_Y";"WGS84_X";"WGS84_Y";"WEBMERCATOR_X";"WEBMERCATOR_Y";"LAT_WGS84";"LONG_WGS84";"DATA_MODFINE";"IDMASTER";"LIVELLO"
298;"";8;1515237,513;5034699,4277;515236,8035;5034605,0352;1023572,1654;5694994,9077;45,464799999999997;9,194900000000001;0;185950;0
299;"";8;1515154,2366;5034685,4089;515153,531;5034591,0169;1023453,5404;5694975,1678;45,464700000000001;9,1938;0;186534;0
300;"";8;1515430,0291;5034747,2599;515429,3106;5034652,8659;1023846,4553;5695062,5717;45,465200000000003;9,1974;0;182811;0
301;"";8;1515539,3085;5034811,456;515538,5849;5034717,0599;1024002,2849;5695153,901;45,465800000000002;9,1988;0;182812;0
302;"";8;1515378,1152;5034782,2142;515377,3991;5034687,819;1023772,6566;5695112,6909;45,465499999999999;9,1967;0;182813;0
303;"";8;1515417,2857;5034799,0935;515416,5678;5034704,6978;1023828,491;5695136,6686;45,465699999999998;9,197200000000001;0;185951;0
304;"";8;1515135,7089;5034622,8234;515135,0041;5034528,4334;1023426,9443;5694885,8203;45,464100000000002;9,1936;0;182814;0
305;"";8;1515255,5828;5034699,5138;515254,8725;5034605,1213;1023597,8953;5694994,9681;45,464799999999997;9,1951;0;182815;0
306;"";8;1515245,4185;5034635,986;515244,7086;5034541,5955;1023583,2028;5694904,2457;45,464199999999998;9,195;0;182816;0
307;"";8;1515218,1639;5034578,1911;515217,4553;5034483,8025;1023544,1963;5694821,7734;45,463700000000003;9,194699999999999;0;185952;0
308;"";8;1515157,952;5034563,7173;515157,2462;5034469,3292;1023458,4127;5694801,304;45,4636;9,193899999999999;0;182817;0
309;"0";8;1515113,4361;5034579,3147;515112,7324;5034484,9261;1023395,0816;5694823,7397;45,4637275457368;9,19331443494025;0;182818;0
311;"";8;1515044,4091;5034465,698;515043,7086;5034371,3131;1023296,4089;5694661,664;45,462699999999998;9,192399999999999;0;185953;0
312;"";8;1515400,2913;5034573,9092;515399,5742;5034479,5208;1023803,5066;5694815,0225;45,463700000000003;9,196999999999999;0;182819;0
313;"";8;1515451,3141;5034599,3137;515450,5946;5034504,9245;1023876,2452;5694851,1367;45,463900000000002;9,1976;0;182820;0
314;"";8;1515512,665;5034599,1113;515511,9427;5034504,7221;1023963,6004;5694850,6316;45,463900000000002;9,1984;0;182821;0
315;"";8;1515497,9962;5034539,4857;515497,2746;5034445,0984;1023942,5045;5694765,5018;45,4634;9,1982;0;182822;0
316;"";8;1515302,7745;5034495,3722;515302,062;5034400,9863;1023664,3835;5694703,1649;45,463000000000001;9,1957;0;182823;0
317;"";8;1515267,0157;5034457,8056;515266,3048;5034363,421;1023613,3383;5694649,6221;45,462600000000002;9,1953;0;182824;0
318;"";8;1515106,4619;5034394,3419;515105,7585;5034299,9593;1023384,5181;5694559,5138;45,4621;9,193199999999999;0;182825;0
319;"";8;1515140,7264;5034484,5708;515140,0214;5034390,1853;1023433,6143;5694688,2949;45,462899999999998;9,1937;0;185954;0
320;"";8;1515099,9157;5034494,3464;515099,2126;5034399,9606;1023375,5396;5694702,4006;45,463000000000001;9,193099999999999;0;185955;0
321;"";8;1515099,6557;5034462,0422;515098,9526;5034367,6574;1023375,0588;5694656,2521;45,462699999999998;9,193099999999999;0;182826;0
322;"";8;1514909,6215;5034538,8607;514908,9273;5034444,4734;1023104,7398;5694766,6425;45,4634;9,1907;0;182827;0
323;"";8;1514968,3369;5034425,1242;514967,6399;5034330,7406;1023187,9564;5694603,9606;45,462299999999999;9,1915;0;182828;0
324;"";8;1514920,2312;5034439,1611;514919,5365;5034344,7771;1023119,5095;5694624,1769;45,462499999999999;9,190799999999999;0;182829;0
325;"";8;1515165,2873;5034387,5346;515164,5812;5034293,1523;1023468,2519;5694549,5868;45,462000000000003;9,194000000000001;0;182830;0
326;"";8;1515252,3187;5034366,726;515251,6085;5034272,3443;1023592,0974;5694519,5594;45,461799999999997;9,1951;0;185956;0
327;"";8;1515200,2136;5034284,1736;515199,5058;5034189,7946;1023517,6248;5694401,8094;45,461100000000002;9,1944;0;185957;0
328;"";8;1515336,6493;5034439,3347;515335,9352;5034344,9507;1023712,4213;5694622,9928;45,462499999999999;9,196199999999999;0;182831;0
329;"";8;1515318,3681;5034466,1014;515317,6548;5034371,7165;1023686,4847;5694661,2948;45,462699999999998;9,1959;0;182832;0
330;"";8;1515415,8437;5034338,3855;515415,1259;5034244,0047;1023824,8286;5694478,5034;45,461599999999997;9,197200000000001;0;182833;0
331;"";8;1515054,837;5034072,2513;515054,136;5033977,8792;1023309,9147;5694099,5745;45,459200000000003;9,192500000000001;0;182834;0
332;"";8;1515122,5805;5034332,7963;515121,8764;5034238,4157;1023407,2574;5694471,5368;45,461500000000001;9,193400000000001;0;185958;0
333;"";8;1515063,272;5034230,0373;515062,5706;5034135,6601;1023322,4625;5694324,9449;45,460599999999999;9,1927;0;182835;0
334;"";8;1515000,9795;5034113,902;515000,281;5034019,5286;1023233,3764;5694159,2565;45,459499999999998;9,1919;0;182836;0
